gene,counts.cv2,counts.avg,signif_var
"Gm9794",0.768376484665797,50.4042719954429,0
"Gm98",36.3578247618127,0.175128004229717,0
"Gm9800",6.49408203459934,3.89570524438195,0
"Gm9804",280.708341452742,0.0986787043487769,0
"Gm9828",52.8987634858051,5.95804753468206,1
"Gm9833",269.948876956704,0.783064945525093,0
"Gm9837",321,0.000375949157119175,0
"Gm9839",170.516339661625,0.287283584476176,0
"Gm9840",27.4019521320584,0.225181518476996,0
"Gm9846",28.1458841927192,0.404892441312452,0
"Gm9855",11.4724793602797,32.9216688969293,0
"Gm9866",181.7984016147,0.438609248671466,0
"Gm9867",31.0594820155113,0.0476993324067913,0
"Gm9875",146.362877910012,0.000692592288494612,0
"Gm9883",125.761849633222,2.00498994012717,1
"Gm9885",309.97140088466,0.181331673488603,0
"Gm9892",39.7270262529849,1.19929530066705,0
"Gm9895",53.501090737308,0.615315897834874,0
"Gm9897",120.721771757434,0.334288113422602,0
"Gm9899",119.495509833989,0.227378840321721,0
"Gm9903",59.27585133819,1.44091102342912,0
"Gm9919",209.112323207672,0.686024492631531,0
"Gm9920",237.256162088142,0.0186685511119425,0
"Gm9923",47.7087096707638,2.7716604360407,0
"Gm9924",13.3106259988757,0.864015887793794,0
"Gm9926",29.9612470792222,0.0507522899332301,0
"Gm9930",279.565118835266,0.0137475950592301,0
"Gm9932",65.9711908062681,0.297969417731717,0
"Gm9938",19.644928737799,18.9995518891747,1
"Gm9944",321,5.49433341391205e-05,0
"Gm9948",75.1683477908623,4.78594417737357,1
"Gm9949",296.324400592814,0.00288276184078557,0
"Gm9956",321,0.00115381001692153,0
"Gm9958",12.6495482253386,11.0231162063042,0
"Gm996",162.580800444516,0.0442896616658314,0
"Gm9962",66.8660692009213,0.0126220866547596,0
"Gm9964",1.57072186087561,15.1002917316968,0
"Gm9968",27.7401315146164,35.7972633383346,1
"Gm9972",86.3645465331828,3.35880109994109,1
"Gm9978",3.10420480139846,9.26384611153339,0
"Gm9979",321,0.0016964527814215,0
"Gm9982",143.506890713968,2.834275228,1
"Gm9984",238.353167153216,0.116347779249967,0
"Gm9990",12.1644456593266,20.1430262634781,0
"Gm9992",317.041489249819,4.28999405390192,1
"Gm9997",145.395867743835,1.46557503297807,0
"Gmcl1",9.83995246574678,28.9217782588628,0
"Gmds",17.2708880235231,7.06238688751865,0
"Gmeb1",2.25415649344257,86.2703502908241,0
"Gmeb2",17.5782874053808,11.69175475828,0
"Gmfb",3.47425030692255,115.665152560767,0
"Gmfg",120.186580633893,0.00824639439881098,0
"Gmip",39.8391557124071,2.20979597346026,0
"Gmnn",21.1288265511592,12.8971184519288,0
"Gmppa",8.91024812791116,22.8908615693972,0
"Gmppb",22.0321471074299,17.0215279154712,1
"Gmpr",64.9951059621063,3.68131230096225,0
"Gmpr2",9.49754494900724,30.335113862369,0
"Gmps",1.11191296885972,404.310945615474,0
"Gna11",6.07893708069823,98.5994720353904,0
"Gna12",7.59319445848305,19.8476124038691,0
"Gna13",6.03386113001529,60.7125857723268,0
"Gna14",8.38700303297495,49.514951053093,0
"Gna15",164.804007273255,0.00418373173204685,0
"Gnai1",88.443083189506,8.48098299412582,1
"Gnai2",3.24654756676161,80.4261920187389,0
"Gnai3",4.96625386106906,105.107176081763,0
"Gnal",8.06825277681091,32.8135603048388,0
"Gnao1",8.02029692626658,29.3824755368131,0
"Gnaq",2.44659554659768,85.0125050747105,0
"Gnas",1.03375960420054,256.733946265811,0
"Gnat1",321,1.02609580356545,1
"Gnat2",212.458451957624,0.0405902293870875,0
"Gnaz",74.0315356907711,5.01991737601664,1
"Gnb1",0.792232862087476,1285.68633045418,0
"Gnb1l",14.8808178495048,14.2079504584426,0
"Gnb2",7.45937645912923,30.4819610789657,0
"Gnb2l1",0.437098641098778,679.844406018884,0
"Gnb3",287.192892635315,0.097530447147215,0
"Gnb4",83.4783748559447,1.15122240043629,0
"Gnb5",9.27477372225549,34.1799878978695,0
"Gne",39.5020253594164,12.4058760095297,1
"Gng10",3.07313308254559,55.6413812626309,0
"Gng11",32.9549028950214,1.45273449060287,0
"Gng12",6.51065179145183,64.3285685966717,0
"Gng13",28.8243087183474,0.846741066990958,0
"Gng2",33.8366795396697,2.84041356797284,0
"Gng3",6.61475946359838,29.4874803190261,0
"Gng4",189.725685841172,8.18574840650968,1
"Gng5",0.860071759531216,129.152287886323,0
"Gng7",24.5521885054006,25.5626078684494,1
"Gng8",19.266008544629,3.31980952292203,0
"Gngt1",40.7019748789658,0.0263883977289982,0
"Gngt2",244.21951477214,0.00171675277928818,0
"Gnl1",10.1948367396426,20.1434991690181,0
"Gnl2",3.34601905838094,83.8656218257897,0
"Gnl3",5.74572005857422,34.4462815974491,0
"Gnl3l",1.32004013425307,193.122183101689,0
"Gnmt",26.7078258733513,7.92790834744598,0
"Gnpat",15.88501265323,41.7866206775089,1
"Gnpda1",11.6261342969955,12.6440185398813,0
"Gnpda2",4.54253698333542,71.4128749110523,0
"Gnpnat1",8.57165536120572,41.1076323107413,0
"Gnptab",11.8263582528775,42.3878227857123,0
"Gnptg",5.47992547513701,31.0021207768718,0
"Gnrh1",145.531243669722,0.0960545124184969,0
"Gnrhr",162.435754835102,0.00313434122518881,0
"Gns",6.44890621395528,75.9672726270415,0
"Golga1",4.86835825373242,50.2614050930806,0
"Golga2",29.0424716984705,35.3924304362763,1
"Golga3",14.6289691012414,22.1765575116968,0
"Golga4",7.53608546782028,150.835780917356,0
"Golga5",7.37524994504341,52.7069581767884,0
"Golga7",2.61578416292418,125.148748586035,0
"Golga7b",69.5181380715014,4.07396547708608,1
"Golgb1",2.52648460973402,225.301642778598,0
"Golim4",6.24884396231811,44.8519434930677,0
"Golm1",5.91901698957438,64.4181350533445,0
"Golph3",3.42430534070625,90.197777752178,0
"Golph3l",15.695759189287,43.1419667549517,1
"Golt1a",321,0.000109886668278241,0
"Golt1b",1.02000259230671,702.176561142756,0
"Gon4l",8.43262772325792,62.5754410737412,0
"Gopc",14.0095089166922,22.6133964356244,0
"Gorab",24.5795049987498,10.1220003571937,0
"Gorasp1",19.346617112532,13.4458808842738,0
"Gorasp2",2.60462280598093,218.437414712723,0
"Gosr1",7.77791591015828,27.9821737444979,0
"Gosr2",7.93274266717798,58.7958022806801,0
"Got1",5.74020029234562,45.6560556019823,0
