"","V1","V2","V3","V4","V5","V6","V7","V8"
"RASL10A",10,8,3,1,0,0,0,0
"RASL11A",0,2,0,0,0,0,0,0
"RASL11B",1316,313,163,104,159,115,21,0
"RASL12",108,29,14,17,6,11,1,0
"RASSF1",349,84,30,48,51,56,2,0
"RASSF2A",295,56,78,13,72,38,1,0
"RASSF2B",1,1,0,0,0,0,0,0
"RASSF4",43,20,3,2,0,3,0,0
"RASSF7B",92,16,4,7,12,10,0,0
"RASSF8B",11,6,20,3,0,6,0,0
"RAVER1",2873,1115,668,241,403,185,57,0
"RB1",2612,962,494,263,422,402,46,0
"RBB4",10687,3413,1853,827,1428,851,248,0
"RBB4L",6953,2209,1141,539,985,542,173,0
"RBBP5",1981,699,338,108,246,111,44,0
"RBBP6",9735,3459,2139,959,1250,598,190,0
"RBBP8",552,155,43,25,89,15,1,0
"RBBP9",2811,901,493,236,385,183,33,0
"RBCK1",252,103,30,15,26,24,10,0
"RBFA",410,97,86,63,81,53,21,0
"RBFOX1",8,0,0,0,1,0,0,0
"RBFOX1L",0,0,0,0,0,1,0,0
"RBFOX2",2552,865,483,199,345,359,54,0
"RBKS",85,1,6,1,0,2,0,0
"RBL1",1680,462,310,126,200,131,65,0
"RBM12",1670,519,349,201,255,294,47,0
"RBM14A",5051,1511,839,433,795,600,79,0
"RBM14B",3064,1011,559,346,392,247,86,0
"RBM15B",1783,526,419,87,202,209,71,0
"RBM17",6665,2043,1290,706,953,505,159,0
"RBM18",1333,504,145,70,224,108,25,0
"RBM19",388,173,65,15,81,95,12,0
"RBM22",17204,5517,2821,1407,2292,1030,429,0
"RBM24A",23,21,4,6,15,4,0,0
"RBM24B",186,97,25,32,34,12,2,0
"RBM25",8585,2791,1450,808,1120,809,171,0
"RBM28",5434,2016,949,400,793,340,92,0
"RBM34",1031,381,260,70,96,65,26,0
"RBM38",2498,815,612,192,420,290,68,0
"RBM39A",11279,3348,1933,971,1344,712,292,0
"RBM39B",4731,1682,861,489,614,504,77,0
"RBM4.1",2017,736,406,138,241,186,23,0
"RBM4.2",6754,2304,1467,721,1065,972,263,0
"RBM4.3",6139,2079,1277,1315,965,9293,185,0
"RBM41",217,105,42,49,38,24,6,0
"RBM42",4739,2036,858,315,767,305,79,0
"RBM45",1499,643,367,134,209,154,50,0
"RBM46",304,97,84,28,21,35,14,0
"RBM47",50,41,11,61,1,38,0,0
"RBM48",563,132,97,85,79,69,15,0
"RBM5",2157,707,389,150,270,145,39,0
"RBM8A",63382,19970,11281,4788,8460,5243,1486,0
"RBMS2B",556,242,142,62,89,18,7,0
"RBMS3",73,15,16,7,14,4,0,0
"RBMX",20609,6718,3794,1805,2759,2076,525,0
"RBMX2",11661,3265,2285,788,1249,669,278,0
"RBP1",3341,1142,674,261,414,147,47,0
"RBP2A",4,0,0,0,0,1,1,0
"RBP2B",44,25,19,11,14,1,3,0
"RBP4L",2,1,0,0,2,0,0,0
"RBP5",7,18,3,0,22,2,3,0
"RBP7B",3,0,0,6,0,3,0,0
"RBPJA",1478,458,328,184,205,239,21,0
"RBPJB",452,120,33,23,38,26,9,0
"RBPMS2A",259,161,65,13,63,35,13,0
"RBPMS2B",2025,866,351,183,312,222,47,0
"RBX1",18382,5666,3332,1538,2237,1789,487,0
"RC3H1",931,289,201,99,113,113,18,0
"RCA2.1",397,140,49,62,53,92,6,0
"RCAN1A",336,60,71,25,66,79,0,0
"RCAN2",372,136,68,57,39,38,10,0
"RCAN3",44,12,2,4,2,7,0,0
"RCBTB1",129,52,41,25,21,14,0,0
"RCC1",15929,5741,3197,1834,2318,2914,357,0
"RCC2",4270,1315,732,427,621,590,130,0
"RCHY1",973,399,171,69,112,97,41,0
"RCL1",4255,1294,829,287,515,196,73,0
"RCN2",353,104,21,40,16,79,1,0
"RCN3",89,33,16,1,12,12,0,0
"RCOR1",2073,828,410,205,379,420,27,0
"RCOR2",381,200,125,44,85,110,15,0
"RCOR3",696,318,109,51,89,62,17,0
"RCV1",310,141,72,54,51,24,7,0
"RD3",4,5,0,0,0,0,0,0
"RDH1",3,0,0,0,0,0,0,0
"RDH10A",605,179,617,34,171,132,13,0
"RDH10B",5584,1992,1318,630,918,671,102,0
"RDH12",510,252,141,97,85,79,0,0
"RDH12L",79,22,33,4,3,13,0,0
"RDH14A",1501,761,248,82,245,91,42,0
"RDH14B",305,104,84,13,75,39,17,0
"RDH5",0,0,0,0,0,1,0,0
"RDH8A",3,2,2,0,0,0,0,0
"RDH8B",0,0,0,0,1,0,0,0
"REC8B",1,3,1,0,2,0,0,0
"RECQL",294,98,44,41,53,23,0,0
"REEP2",2534,1036,349,292,374,393,65,0
"REEP3A",3,2,1,1,6,1,0,0
"REEP3B",5947,1948,1230,587,916,542,150,0
"REEP5",1831,703,284,111,256,205,24,0
"REL",87,5,12,3,1,5,0,0
"RELA",604,219,134,42,97,66,27,0
"RELN",12,7,1,3,0,1,0,0
"RELT",76,32,88,132,31,53,0,0
"REM1",88,76,16,0,16,0,0,0
"REM2",54,44,6,20,3,8,0,0
"REN",47,0,8,5,1,0,0,0
"RENBP",127,83,38,3,2,13,0,0
"REPS1",566,166,86,61,118,35,12,0
"RER1",11423,3977,1854,918,1602,1007,218,0
"RERGLA",5,10,2,0,0,0,0,0
"RET",25,19,0,0,0,0,0,0
"RETSAT",471,95,64,36,53,50,10,0
"RETSATL",925,271,129,129,175,195,18,0
"REV1",138,76,46,20,20,15,7,0
"REXO1",3247,929,579,338,398,89,49,0
"RFC1",431,194,146,37,56,50,1,0
"RFC2",7147,2271,1128,378,788,347,212,0
"RFC3",1458,521,286,117,281,85,36,0
"RFC4",301,129,140,81,33,25,14,0
"RFC5",4864,1633,902,398,607,326,114,0
"RFESD",24,0,2,3,0,0,0,0
"RFNG",895,380,125,139,158,136,15,0
"RFTN2",150,75,47,40,21,37,7,0
"RFWD2",1172,413,189,90,161,159,48,0
"RFX1A",20,4,6,2,0,2,0,0
"RFX2",648,215,260,98,133,133,18,0
"RFX3",272,75,44,9,95,12,3,0
"RFX4",66,24,38,23,21,4,4,0
"RFXANK",14,0,0,0,0,0,0,0
