"","x"
"""EGFP""",2.507965976072
"""tdTom""",11.7379730515356
"""0610005C13Rik""",261.643671747279
"""0610007C21Rik""",2.31792555370683
"""0610007L01Rik""",6.08536734400221
"""0610007N19Rik""",9.02761390668635
"""0610007P08Rik""",7.69318737243106
"""0610007P14Rik""",2.78863934205185
"""0610007P22Rik""",13.5752862710413
"""0610008F07Rik""",NA
"""0610009B14Rik""",220.493222373728
"""0610009B22Rik""",2.42668794303377
"""0610009D07Rik""",1.19064620356769
"""0610009E02Rik""",6.69687337616829
"""0610009L18Rik""",35.482790553011
"""0610009O20Rik""",8.67176369963511
"""0610010B08Rik""",24.8664343551193
"""0610010F05Rik""",21.5118812714703
"""0610010K14Rik""",5.04649964548783
"""0610010O12Rik""",1.71122180464338
"""0610011F06Rik""",2.22923267582391
"""0610011L14Rik""",5.20241316036066
"""0610012G03Rik""",10.4841265869147
"""0610012H03Rik""",76.9730508615732
"""0610025J13Rik""",161.026804556825
"""0610030E20Rik""",16.5758854185823
"""0610031J06Rik""",3.69367371234903
"""0610031O16Rik""",NA
"""0610037L13Rik""",6.6167958683978
"""0610037P05Rik""",1.96327651611317
"""0610038B21Rik""",87.0762166935041
"""0610038L08Rik""",101.007309132469
"""0610039K10Rik""",321
"""0610040B10Rik""",88.1434087407082
"""0610040F04Rik""",73.2949913871306
"""0610040J01Rik""",39.835084692175
"""0610043K17Rik""",115.647982885182
"""0910001L09Rik""",3.48283765175052
"""100043387""",19.5683345513667
"""1100001G20Rik""",321
"""1110001A16Rik""",6.55811072784419
"""1110001J03Rik""",4.6325909524833
"""1110002B05Rik""",2.79805127615085
"""1110002L01Rik""",15.9139276836081
"""1110002N22Rik""",13.6504278522389
"""1110003E01Rik""",3.01354975740484
"""1110004E09Rik""",3.86849547547708
"""1110004F10Rik""",1.31380489129003
"""1110005A03Rik""",5.0119258006282
"""1110006O24Rik""",58.0333063733728
"""1110007C09Rik""",3.45120078585184
"""1110008E08Rik""",NA
"""1110008F13Rik""",53.4658055832961
"""1110008J03Rik""",15.1058488162955
"""1110008L16Rik""",23.0182027165009
"""1110008P14Rik""",3.99138308145176
"""1110012J17Rik""",9.25841858441555
"""1110012L19Rik""",5.74100417971775
"""1110014N23Rik""",19.8902640973247
"""1110015O18Rik""",321
"""1110017D15Rik""",4.20047296568687
"""1110017F19Rik""",23.1464767114472
"""1110018G07Rik""",6.26789718005592
"""1110018J18Rik""",14.888286033001
"""1110019D14Rik""",33.5465027760712
"""1110020A21Rik""",27.127154778028
"""1110020C17Rik""",321
"""1110020G09Rik""",8.22854647043978
"""1110021J02Rik""",3.21966708301326
"""1110021L09Rik""",9.65199233189738
"""1110028C15Rik""",16.4079049592914
"""1110028F11Rik""",151.986350223592
"""1110028F18Rik""",119.362595801602
"""1110031I02Rik""",7.91650395703646
"""1110032A03Rik""",3.37161994982428
"""1110032A04Rik""",58.9957494235088
"""1110032F04Rik""",150.654027439663
"""1110034A24Rik""",9.46398378124757
"""1110034B05Rik""",6.78026935550485
"""1110034G24Rik""",23.0883940700075
"""1110035M17Rik""",279.250899070491
"""1110036E04Rik""",321
"""1110037F02Rik""",6.54909132068912
"""1110038B12Rik""",2.43137986647081
"""1110038D17Rik""",24.9141081403267
"""1110038F14Rik""",3.85222876983615
"""1110046J04Rik""",27.4599932645119
"""1110049F12Rik""",19.2109515137731
"""1110050K14Rik""",171.496279606166
"""1110051M20Rik""",2.68178855636962
"""1110054M08Rik""",50.756836531093
"""1110054O05Rik""",19.977282269949
"""1110057K04Rik""",7.39921491477453
"""1110058L19Rik""",1.64407267075372
"""1110059E24Rik""",5.35068402969968
"""1110059G10Rik""",5.56643267183162
"""1110059M19Rik""",306.781881310047
"""1110065P20Rik""",15.2901184840096
"""1110067D22Rik""",6.70705929507873
"""1190002F15Rik""",5.47984118899896
"""1190002H23Rik""",5.86161499716839
"""1190002N15Rik""",16.0957916078255
"""1190003J15Rik""",32.3612451570011
"""1190003K10Rik""",NA
"""1190005F20Rik""",9.3542590089519
"""1190005I06Rik""",28.7679634420831
"""1190007F08Rik""",19.5563684087483
"""1190007I07Rik""",12.891526580279
"""1200009I06Rik""",25.7920550104041
"""1200011I18Rik""",10.4212005315056
"""1200011M11Rik""",38.1363355928662
"""1200014J11Rik""",2.97789800064772
"""1200016B10Rik""",9.52334540204297
"""1300001I01Rik""",20.9219218335133
"""1300002E11Rik""",5.40456881046465
"""1300002K09Rik""",321
"""1300010F03Rik""",6.67857285314536
"""1300014I06Rik""",8.3556050072883
"""1300015D01Rik""",321
"""1300017J02Rik""",NA
"""1300018I17Rik""",15.4309216889441
"""1300018J18Rik""",45.0294201906367
"""1500001M20Rik""",75.074576091465
"""1500002F19Rik""",127.229654846577
"""1500002O10Rik""",117.431579497672
"""1500002O20Rik""",26.2427083536167
"""1500003O03Rik""",5.63382120838509
"""1500004A13Rik""",46.3079934132532
"""1500009C09Rik""",NA
"""1500009L16Rik""",92.8576592060133
"""1500010J02Rik""",12.6524015041828
"""1500011B03Rik""",2.17370385742507
"""1500011H22Rik""",4.19588410521839
"""1500011K16Rik""",3.50006933172242
"""1500012F01Rik""",1.47630134985798
"""1500012K07Rik""",165.911772499691
"""1500015A07Rik""",25.0783509124775
"""1500015L24Rik""",118.39353683569
"""1500015O10Rik""",3.96114817799269
"""1500016L03Rik""",85.7012022201749
"""1500017E21Rik""",32.6525484196891
"""1500031L02Rik""",5.83169174311089
"""1500032L24Rik""",2.98174523465377
"""1500035N22Rik""",125.675774892934
"""1520401A03Rik""",164.293145340931
"""1520402A15Rik""",51.8829852513419
"""1600002D24Rik""",277.74498992924
"""1600002H07Rik""",26.9697282383118
"""1600002K03Rik""",16.9176776302756
"""1600010M07Rik""",23.2512414470158
"""1600012F09Rik""",5.0798588400387
"""1600012H06Rik""",14.2810578607549
"""1600012P17Rik""",321
"""1600014C10Rik""",19.569212190146
"""1600014C23Rik""",182.685787035152
"""1600014K23Rik""",321
"""1600015I10Rik""",NA
"""1600016N20Rik""",42.7986256731917
"""1600019K03Rik""",222.749903420554
"""1600020E01Rik""",7.71798798977631
"""1600021P15Rik""",28.5254906200211
"""1600025M17Rik""",NA
"""1600027N09Rik""",60.0481549607575
"""1600029D21Rik""",15.490922391123
"""1600029I14Rik""",11.1990948782768
"""1600029O15Rik""",68.0850464058352
"""1700001C02Rik""",8.41246923392377
"""1700001C19Rik""",99.662267885407
"""1700001D01Rik""",35.2399264218493
"""1700001F09Rik""",321
"""1700001G11Rik""",139.911995744617
"""1700001G17Rik""",100.839133156905
"""1700001J03Rik""",201.784078858527
"""1700001J11Rik""",96.3208675260638
"""1700001K19Rik""",121.562866680422
"""1700001K23Rik""",110.272108850906
"""1700001L05Rik""",69.1021782054693
"""1700001L19Rik""",9.22722752943516
"""1700001O22Rik""",31.4737020982747
"""1700001P01Rik""",173.650192203201
"""1700003C15Rik""",NA
"""1700003D09Rik""",NA
"""1700003E16Rik""",24.1363471216244
"""1700003E24Rik""",NA
"""1700003F12Rik""",NA
"""1700003F17Rik""",NA
"""1700003G13Rik""",321
"""1700003G18Rik""",315.468788349834
"""1700003H04Rik""",81.3216371225346
"""1700003L19Rik""",NA
"""1700003M02Rik""",8.95158093185808
"""1700003M07Rik""",160.452256459868
"""1700003P14Rik""",NA
"""1700006A11Rik""",NA
"""1700006E09Rik""",NA
"""1700006F04Rik""",321
"""1700006H21Rik""",NA
"""1700006J14Rik""",37.8464302577073
"""1700007B14Rik""",148.765399547364
"""1700007E05Rik""",39.091589653666
"""1700007F19Rik""",NA
"""1700007G11Rik""",15.0511158991152
"""1700007I08Rik""",321
"""1700007J10Rik""",91.9965698360797
"""1700007K09Rik""",321
"""1700007K13Rik""",8.92154405976863
"""1700007L15Rik""",66.8664993707983
"""1700007P06Rik""",72.7768772754447
"""1700008A04Rik""",NA
"""1700008F21Rik""",222.749903420554
"""1700008I05Rik""",202.891096672693
"""1700008J07Rik""",41.1780270301508
"""1700008K24Rik""",NA
"""1700008O03Rik""",98.3578517572216
"""1700008P02Rik""",NA
"""1700008P20Rik""",35.5775158947619
"""1700009C05Rik""",107.723707716506
"""1700009J07Rik""",NA
"""1700009N14Rik""",288.884433045849
"""1700009P17Rik""",4.60238509930566
"""1700010B08Rik""",285.320768429436
"""1700010B13Rik""",321
"""1700010D01Rik""",NA
"""1700010H22Rik""",35.8609758994585
"""1700010I02Rik""",112.30108893854
"""1700010I14Rik""",25.4801938359061
"""1700010J16Rik""",NA
"""1700010K23Rik""",NA
"""1700010L04Rik""",297.8983527065
"""1700010M22Rik""",NA
"""1700011A15Rik""",133.421135471993
"""1700011B04Rik""",NA
"""1700011E24Rik""",303.393035737715
"""1700011F03Rik""",NA
"""1700011F14Rik""",NA
"""1700011H14Rik""",321
"""1700011I03Rik""",157.744476370128
"""1700011J10Rik""",12.4129700090947
"""1700011L22Rik""",NA
"""1700011M02Rik""",NA
"""1700012A03Rik""",NA
"""1700012A16Rik""",20.4231503850032
"""1700012B07Rik""",NA
"""1700012B09Rik""",101.615535039271
"""1700012B15Rik""",12.1157370191579
"""1700012D01Rik""",108.228161971022
"""1700012D14Rik""",37.406055194326
"""1700012I11Rik""",321
"""1700012L04Rik""",133.86819780439
"""1700012P22Rik""",13.222150137001
"""1700013D24Rik""",NA
"""1700013F07Rik""",36.976333320624
"""1700013G23Rik""",36.0917215671699
"""1700013G24Rik""",NA
"""1700013H16Rik""",NA
"""1700013N18Rik""",53.7472451082273
"""1700014N06Rik""",NA
"""1700015E13Rik""",43.3303685830347
"""1700015F17Rik""",138.927034125612
"""1700015G11Rik""",NA
"""1700016C15Rik""",305.954693850115
"""1700016D06Rik""",72.9170629304173
